NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInCategory::OST_BraceStartSegment;-2009634;Start Segment
OdBm::BuiltInCategory::OST_BraceEndSegment;-2009635;End Segment
OdBm::BuiltInCategory::OST_ColumnAnalytical;-2009636;Analytical Columns
OdBm::BuiltInCategory::OST_ColumnStartSegment;-2009637;Base Segment
OdBm::BuiltInCategory::OST_ColumnEndSegment;-2009638;Top Segment
OdBm::BuiltInCategory::OST_FloorAnalytical;-2009639;Analytical Floors
OdBm::BuiltInCategory::OST_WallAnalytical;-2009640;Analytical Walls
OdBm::BuiltInCategory::OST_IsolatedFoundationAnalytical;-2009641;Analytical Isolated Foundations
OdBm::BuiltInCategory::OST_WallFoundationAnalytical;-2009642;Analytical Wall Foundations
OdBm::BuiltInCategory::OST_FoundationSlabAnalytical;-2009643;Analytical Foundation Slabs
OdBm::BuiltInCategory::OST_RigidLinksAnalytical;-2009644;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_AnalyticalNodes;-2009645;Analytical Nodes
OdBm::BuiltInCategory::OST_AnalyticalNodes_Points;-2009646;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_AnalyticalNodes_Planes;-2009647;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_AnalyticalNodes_Lines;-2009648;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_BeamAnalyticalTags;-2009649;Analytical Beam Tags
OdBm::BuiltInCategory::OST_BraceAnalyticalTags;-2009650;Analytical Brace Tags
OdBm::BuiltInCategory::OST_ColumnAnalyticalTags;-2009651;Analytical Column Tags
OdBm::BuiltInCategory::OST_FloorAnalyticalTags;-2009652;Analytical Floor Tags
OdBm::BuiltInCategory::OST_WallAnalyticalTags;-2009653;Analytical Wall Tags
OdBm::BuiltInCategory::OST_IsolatedFoundationAnalyticalTags;-2009654;Analytical Isolated Foundation Tags
OdBm::BuiltInCategory::OST_WallFoundationAnalyticalTags;-2009655;Analytical Wall Foundation Tags
OdBm::BuiltInCategory::OST_FoundationSlabAnalyticalTags;-2009656;Analytical Slab Foundation Tags
OdBm::BuiltInCategory::OST_LinksAnalytical;-2009657;Analytical Links
OdBm::BuiltInCategory::OST_AssemblyOrigin;-2009658;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_AssemblyOrigin_Points;-2009659;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_AssemblyOrigin_Planes;-2009660;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_AssemblyOrigin_Lines;-2009661;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_AnalyticalMember;-2009662;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_AnalyticalMemberTags;-2009663;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_PointClouds;-2010001;Point Clouds
OdBm::BuiltInCategory::OST_RemovedGridSeg_Obsolete_IdInWrongRange;-20000827;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StickSymbols_Obsolete_IdInWrongRange;-20000828;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_WallRefPlanes_Obsolete_IdInWrongRange;-20000896;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_Mass_Obsolete_IdInWrongRange;-20034000;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MassFloor_Obsolete_IdInWrongRange;-20034003;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MassSurface_Obsolete_IdInWrongRange;-20034004;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MassTags_Obsolete_IdInWrongRange;-20034005;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StackedWalls_Obsolete_IdInWrongRange;-20034100;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StairsIncomplete_Deprecated;-2000121;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_ModelArray_REMOVED_Deprecated;-2000316;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_DetailArray_REMOVED_Deprecated;-2000317;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_Stair2012_Deprecated;-2000918;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StairStringer2012_Deprecated;-2000922;ODBM_CSV_NULL
