FORGETYPEID;LABEL
autodesk.unit.unit:squareFeetPerTonOfRefrigeration-1.0.1;Square feet per ton of refrigeration
autodesk.unit.unit:squareMetersPerKilowatt-1.0.1;Square meters per kilowatt
autodesk.unit.unit:currency-1.0.0;Currency
autodesk.unit.unit:lumensPerWatt-1.0.1;Lumens per watt
autodesk.unit.unit:squareFeetPer1000BritishThermalUnitsPerHour-1.0.1;Square feet per thousand British thermal units per hour
autodesk.unit.unit:kilonewtonsPerSquareCentimeter-1.0.1;Kilonewtons per square centimeter
autodesk.unit.unit:newtonsPerSquareMillimeter-1.0.1;Newtons per square millimeter
autodesk.unit.unit:kilonewtonsPerSquareMillimeter-1.0.1;Kilonewtons per square millimeter
autodesk.unit.unit:riseDividedBy120Inches-1.0.1;Rise / 120 inches
autodesk.unit.unit:1ToRatio-1.0.1;1 : Ratio
autodesk.unit.unit:riseDividedBy10Feet-1.0.1;Rise / 10 feet
autodesk.unit.unit:hourSquareFootDegreesFahrenheitPerBritishThermalUnit-1.0.1;Hour square foot degrees Fahrenheit per British thermal unit
autodesk.unit.unit:squareMeterKelvinsPerWatt-1.0.1;Square meter kelvins per watt
autodesk.unit.unit:britishThermalUnitsPerDegreeFahrenheit-1.0.1;British thermal units per degree Fahrenheit
autodesk.unit.unit:joulesPerKelvin-1.0.1;Joules per Kelvin
autodesk.unit.unit:kilojoulesPerKelvin-1.0.1;Kilojoules per Kelvin
autodesk.unit.unit:kilograms-1.0.0;Kilograms
autodesk.unit.unit:tonnes-1.0.1;Tonnes
autodesk.unit.unit:poundsMass-1.0.1;Pounds mass
autodesk.unit.unit:metersPerSecondSquared-1.0.1;Meters per second squared
autodesk.unit.unit:kilometersPerSecondSquared-1.0.1;Kilometers per second squared
autodesk.unit.unit:inchesPerSecondSquared-1.0.1;Inches per second squared
autodesk.unit.unit:feetPerSecondSquared-1.0.1;Feet per second squared
autodesk.unit.unit:milesPerSecondSquared-1.0.1;Miles per second squared
autodesk.unit.unit:feetToTheFourthPower-1.0.1;Feet to the fourth power
autodesk.unit.unit:inchesToTheFourthPower-1.0.1;Inches to the fourth power
autodesk.unit.unit:millimetersToTheFourthPower-1.0.1;Millimeters to the fourth power
autodesk.unit.unit:centimetersToTheFourthPower-1.0.1;Centimeters to the fourth power
autodesk.unit.unit:metersToTheFourthPower-1.0.1;Meters to the fourth power
autodesk.unit.unit:feetToTheSixthPower-1.0.1;Feet to the sixth power
autodesk.unit.unit:inchesToTheSixthPower-1.0.1;Inches to the sixth power
autodesk.unit.unit:millimetersToTheSixthPower-1.0.1;Millimeters to the sixth power
autodesk.unit.unit:centimetersToTheSixthPower-1.0.1;Centimeters to the sixth power
autodesk.unit.unit:metersToTheSixthPower-1.0.1;Meters to the sixth power
autodesk.unit.unit:squareFeetPerFoot-1.0.1;Square feet per foot
autodesk.unit.unit:squareInchesPerFoot-1.0.1;Square inches per foot
autodesk.unit.unit:squareMillimetersPerMeter-1.0.1;Square millimeters per meter
autodesk.unit.unit:squareCentimetersPerMeter-1.0.1;Square centimeters per meter
autodesk.unit.unit:squareMetersPerMeter-1.0.1;Square meters per meter
autodesk.unit.unit:kilogramsPerMeter-1.0.1;Kilograms per meter
autodesk.unit.unit:poundsMassPerFoot-1.0.1;Pounds mass per foot
autodesk.unit.unit:radians-1.0.0;Radians
autodesk.unit.unit:gradians-1.0.1;Gradians
autodesk.unit.unit:radiansPerSecond-1.0.1;Radians per second
autodesk.unit.unit:milliseconds-1.0.1;Milliseconds
autodesk.unit.unit:seconds-1.0.0;Seconds
autodesk.unit.unit:minutes-1.0.1;Minutes
autodesk.unit.unit:hours-1.0.1;Hours
autodesk.unit.unit:kilometersPerHour-1.0.1;Kilometers per hour
autodesk.unit.unit:milesPerHour-1.0.1;Miles per hour
autodesk.unit.unit:kilojoules-1.0.1;Kilojoules
autodesk.unit.unit:kilogramsPerSquareMeter-1.0.1;Kilograms per square meter
autodesk.unit.unit:poundsMassPerSquareFoot-1.0.1;Pounds mass per square foot
autodesk.unit.unit:wattsPerMeterKelvin-1.0.1;Watts per meter kelvin
autodesk.unit.unit:joulesPerGramDegreeCelsius-1.0.1;Joules per gram degree Celsius
autodesk.unit.unit:joulesPerGram-1.0.1;Joules per gram
autodesk.unit.unit:nanogramsPerPascalSecondSquareMeter-1.0.1;Nanograms per pascal second square meter
autodesk.unit.unit:ohmMeters-1.0.1;Ohm meters
autodesk.unit.unit:britishThermalUnitsPerHourFootDegreeFahrenheit-1.0.1;British thermal units per hour foot degree Fahrenheit
autodesk.unit.unit:britishThermalUnitsPerPoundDegreeFahrenheit-1.0.1;British thermal units per pound degree Fahrenheit
autodesk.unit.unit:britishThermalUnitsPerPound-1.0.1;British thermal units per pound
autodesk.unit.unit:grainsPerHourSquareFootInchMercury-1.0.1;Grains per hour square foot inch mercury
autodesk.unit.unit:perMille-1.0.1;Per mille
autodesk.unit.unit:decimeters-1.0.1;Decimeters
autodesk.unit.unit:joulesPerKilogramDegreeCelsius-1.0.1;Joules per kilogram degree Celsius
autodesk.unit.unit:micrometersPerMeterDegreeCelsius-1.0.1;Micrometers per meter degree Celsius
autodesk.unit.unit:microinchesPerInchDegreeFahrenheit-1.0.1;Microinches per inch degree Fahrenheit
autodesk.unit.unit:usTonnesMass-1.0.1;US tonnes mass
autodesk.unit.unit:usTonnesForce-1.0.1;US tonnes force
autodesk.unit.unit:litersPerMinute-1.0.1;Liters per minute
autodesk.unit.unit:fahrenheitInterval-1.0.1;Fahrenheit interval
autodesk.unit.unit:celsiusInterval-1.0.1;Celsius interval
autodesk.unit.unit:kelvinInterval-1.0.0;Kelvin interval
autodesk.unit.unit:rankineInterval-1.0.1;Rankine interval
autodesk.unit.unit:stationingMeters-1.0.0;Meters
autodesk.unit.unit:stationingFeet-1.0.0;Feet
autodesk.unit.unit:cubicFeetPerHour-1.0.0;Cubic feet per hour
autodesk.unit.unit:litersPerHour-1.0.1;Liters per hour
autodesk.unit.unit:ratioTo1-1.0.0;Ratio : 1
autodesk.unit.unit:usSurveyFeet-1.0.0;US survey feet
