NAME(Used only as reminder for value);VALUE;LABEL
OdBm::FamilyName::DivisionRule;107;Rectangular Grid
OdBm::FamilyName::DuctFittingCenterLine;108;Sattelstutzen rund
OdBm::FamilyName::EdgeSlabAttr;109;Slab Edge
OdBm::FamilyName::EndTreatmentType;110;End Treatment
OdBm::FamilyName::FabricAreaType;111;Structural Fabric Area
OdBm::FamilyName::FabricSheetType;112;Fabric Sheet
OdBm::FamilyName::FabricWireType;113;Fabric Wire
OdBm::FamilyName::FamilyInstance;114;
OdBm::FamilyName::FasciaAttr;115;Fascia
OdBm::FamilyName::FlexCenterLine;116;Flex Duct Round
OdBm::FamilyName::GStyleElem;117;Analysis Report
OdBm::FamilyName::GutterAttr;118;Gutter
OdBm::FamilyName::ImageHolder;119;Decal
OdBm::FamilyName::ImageSymbol;120;Raster image
OdBm::FamilyName::JoistSystemAttr;121;Structural Beam System
OdBm::FamilyName::LeaderStyle;122;Arrowhead
OdBm::FamilyName::LineLoadType;123;Line Loads
OdBm::FamilyName::LinePatternElem;124;Analysis Report
OdBm::FamilyName::MasterImportSymbol;125;Import Symbol
OdBm::FamilyName::MechanicalEquipmentSetType;126;Mechanical Equipment Sets
OdBm::FamilyName::MEPAnalyticalConnectionElementType;127;Analytical Pipe Connections
OdBm::FamilyName::MEPSystemZoneType;128;System-Zones
OdBm::FamilyName::MultiReferenceAnnotationType;129;Multi-Rebar Annotations
OdBm::FamilyName::MultistoryStairsType;130;Multistory Stairs
OdBm::FamilyName::PathReinforcementType;131;Structural Path Reinforcement
OdBm::FamilyName::PipeFittingCenterLine;132;Bogen - allgemein
OdBm::FamilyName::PointLoadType;133;Point Loads
OdBm::FamilyName::PropertyAttr;134;Property Lines
OdBm::FamilyName::RampAttributes;135;Ramp
OdBm::FamilyName::RbsDistributionSysType;136;Distribution System
OdBm::FamilyName::RbsDuctInsulationType;137;Duct Insulation
OdBm::FamilyName::RbsDuctLiningType;138;Duct Lining
OdBm::FamilyName::RbsFlexPipeType;139;Flex Pipe Round
OdBm::FamilyName::RbsFluidType;140;Fluid Types
