NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInParameter::SECTION_BROKEN_DISPLAY_STYLE;-1006615;Broken Section Display Style
OdBm::BuiltInParameter::CUT_MARK_SYMBOL;-1006616;Cut Mark Symbol
OdBm::BuiltInParameter::CUT_LINE_DISTANCE;-1006617;Cut Line Distance
OdBm::BuiltInParameter::CUT_LINE_EXTENSION;-1006618;Cut Line Extension
OdBm::BuiltInParameter::CUT_LINE_ANGLE;-1006619;Cut Line Angle
OdBm::BuiltInParameter::CUT_LINE_TYPE;-1006620;Cut Line Type
OdBm::BuiltInParameter::CUT_MARK_SYMBOL_SIZE;-1006621;Cut Mark Symbol Size
OdBm::BuiltInParameter::START_SYMBOL_TYPE;-1006622;Start Symbol Type
OdBm::BuiltInParameter::ARROWHEAD_TYPE;-1006623;Arrowhead Type
OdBm::BuiltInParameter::LINE_SHAPE_AT_CORNER;-1006624;Line Shape at Landing Corner
OdBm::BuiltInParameter::DISTANCE_TO_CUT_MARK;-1006625;Distance to Cut Mark
OdBm::BuiltInParameter::STAIRS_PATH_START_FROM_RISER;-1006626;Start from Riser
OdBm::BuiltInParameter::ARROWHEAD_END_AT_RISER;-1006627;End at Riser
OdBm::BuiltInParameter::DRAW_FOR_EACH_RUN;-1006628;Draw for Each Run
OdBm::BuiltInParameter::SHOW_ARROWHEAD_TO_CUT_MARK;-1006630;Show Arrowhead to Cut Mark
OdBm::BuiltInParameter::STAIRS_SHOW_UP_TEXT;-1006631;Show Up Text
OdBm::BuiltInParameter::STAIRS_UP_TEXT;-1006632;Up Text
OdBm::BuiltInParameter::STAIRS_SHOW_DOWN_TEXT;-1006633;Show Down Text
OdBm::BuiltInParameter::STAIRS_DOWN_TEXT;-1006634;Down Text
OdBm::BuiltInParameter::STAIRS_TEXT_TYPE;-1006635;Text Type
OdBm::BuiltInParameter::STAIRS_TEXT_ORIENTATION;-1006636;Orientation
OdBm::BuiltInParameter::NUMBER_SYSTEM_JUSTIFY_OFFSET;-1006637;Justify Offset
OdBm::BuiltInParameter::NUMBER_SYSTEM_REFERENCE_OFFSET;-1006638;Offset from Reference
OdBm::BuiltInParameter::NUMBER_SYSTEM_ORIENTATION;-1006639;Orientation
OdBm::BuiltInParameter::NUMBER_SYSTEM_JUSTIFY;-1006641;Justify
OdBm::BuiltInParameter::NUMBER_SYSTEM_REFERENCE;-1006642;Reference
OdBm::BuiltInParameter::NUMBER_SYSTEM_DISPLAY_RULE;-1006643;Display Rule
OdBm::BuiltInParameter::NUMBER_SYSTEM_TAG_TYPE;-1006644;Tag Type
OdBm::BuiltInParameter::NUMBER_SYSTEM_TEXT_SIZE;-1006645;Number Size
OdBm::BuiltInParameter::STAIRS_PATH_START_EXTENSION;-1006660;Start Extension
OdBm::BuiltInParameter::STAIRS_PATH_FULL_STEP_ARROW;-1006661;Full Step Arrow
OdBm::BuiltInParameter::GRID_HEAD_TAG;-1006700;Symbol
OdBm::BuiltInParameter::GRID_BUBBLE_LINE_PEN;-1006703;Bubble Weight Number
OdBm::BuiltInParameter::GRID_CENTER_SEGMENT_STYLE;-1006704;Center Segment
OdBm::BuiltInParameter::GRID_CENTER_SEGMENT_WEIGHT;-1006705;Center Segment Weight
OdBm::BuiltInParameter::GRID_CENTER_SEGMENT_COLOR;-1006706;Center Segment Color
OdBm::BuiltInParameter::GRID_CENTER_SEGMENT_PATTERN;-1006707;Center Segment Pattern
OdBm::BuiltInParameter::GRID_END_SEGMENT_WEIGHT;-1006708;End Segment Weight
OdBm::BuiltInParameter::GRID_END_SEGMENT_COLOR;-1006709;End Segment Color
OdBm::BuiltInParameter::GRID_END_SEGMENT_PATTERN;-1006710;End Segment Pattern
OdBm::BuiltInParameter::GRID_END_SEGMENTS_LENGTH;-1006711;End Segments Length
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_RANGE;-1006850;Data Range
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_CURRENT_NAME;-1006851;Analysis Configuration
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_DESCRIPTION;-1006852;Description
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_LEGEND_SHOW_CONFIG_NAME;-1006853;Show Configuration Name
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_LEGEND_SHOW_DESCRIPTION;-1006854;Show Description
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_RESULTS_VISIBILITY;-1006855;Results Visibility
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_LEGEND_TEXT_TYPE;-1006856;Overall Legend Text
OdBm::BuiltInParameter::VIEW_ANALYSIS_RESULTS_VISIBILITY;-1006857;Analysis Display Settings
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_LEGEND_HEIGHT;-1006858;Legend Height
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_LEGEND_WIDTH;-1006859;Legend Width
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_LEGEND_VERT_ORIGIN_GAP;-1006860;Legend Vertical Origin Gap
OdBm::BuiltInParameter::SPATIAL_FIELD_MGR_LEGEND_HOR_ORIGIN_GAP;-1006861;Legend Horizontal Origin Gap
OdBm::BuiltInParameter::ROOM_NAME;-1006900;Name
OdBm::BuiltInParameter::ROOM_NUMBER;-1006901;Number
OdBm::BuiltInParameter::ROOM_AREA;-1006902;Area
OdBm::BuiltInParameter::ROOM_FINISH_FLOOR;-1006903;Floor Finish
OdBm::BuiltInParameter::ROOM_FINISH_WALL;-1006904;Wall Finish
OdBm::BuiltInParameter::ROOM_FINISH_CEILING;-1006905;Ceiling Finish
OdBm::BuiltInParameter::ROOM_FINISH_BASE;-1006906;Base Finish
OdBm::BuiltInParameter::ROOM_DEPARTMENT;-1006907;Department
OdBm::BuiltInParameter::ROOM_OCCUPANCY;-1006909;Occupancy
OdBm::BuiltInParameter::ROOM_LEVEL_ID;-1006916;Level
OdBm::BuiltInParameter::ROOM_PERIMETER;-1006917;Perimeter
OdBm::BuiltInParameter::ROOM_HEIGHT;-1006920;Unbounded Height
OdBm::BuiltInParameter::ROOM_VOLUME;-1006921;Volume
OdBm::BuiltInParameter::ROOM_UPPER_LEVEL;-1006922;Upper Limit
OdBm::BuiltInParameter::ROOM_UPPER_OFFSET;-1006924;Limit Offset
OdBm::BuiltInParameter::ROOM_LOWER_OFFSET;-1006925;Base Offset
OdBm::BuiltInParameter::ROOM_COMPUTATION_METHOD;-1006926;Computation
OdBm::BuiltInParameter::ALWAYS_ZERO_LENGTH;-1006927;Base Offset
OdBm::BuiltInParameter::ROOM_COMPUTATION_HEIGHT;-1006928;Computation Height
OdBm::BuiltInParameter::LEVEL_ROOM_COMPUTATION_HEIGHT;-1006939;Computation Height
OdBm::BuiltInParameter::LEVEL_ATTR_ROOM_COMPUTATION_HEIGHT;-1006940;Computation Height
OdBm::BuiltInParameter::LEVEL_ATTR_ROOM_COMPUTATION_AUTOMATIC;-1006941;Automatic Room Computation Height
OdBm::BuiltInParameter::VIS_GRAPHICS_MODEL;-1006961;V/G Overrides Model
OdBm::BuiltInParameter::VIS_GRAPHICS_ANNOTATION;-1006962;V/G Overrides Annotation
OdBm::BuiltInParameter::VIS_GRAPHICS_IMPORT;-1006963;V/G Overrides Import
OdBm::BuiltInParameter::VIS_GRAPHICS_FILTERS;-1006964;V/G Overrides Filters
OdBm::BuiltInParameter::VIS_GRAPHICS_RVT_LINKS;-1006965;V/G Overrides RVT Links
OdBm::BuiltInParameter::VIS_GRAPHICS_DESIGNOPTIONS;-1006966;V/G Overrides Design Options
OdBm::BuiltInParameter::VIS_GRAPHICS_ANALYTICAL_MODEL;-1006967;V/G Overrides Analytical Model
OdBm::BuiltInParameter::VIS_GRAPHICS_WORKSETS;-1006968;V/G Overrides Worksets
OdBm::BuiltInParameter::VIS_GRAPHICS_POINT_CLOUDS;-1006969;V/G Overrides Point Clouds
OdBm::BuiltInParameter::VIS_GRAPHICS_COORDINATION_MODEL;-1006970;V/G Overrides Coordination Model
OdBm::BuiltInParameter::RADIUS_SYMBOL_TEXT;-1006997;Radius Symbol Text
OdBm::BuiltInParameter::DIAMETER_SYMBOL_LOCATION;-1006998;Diameter Symbol Location
OdBm::BuiltInParameter::DIAMETER_SYMBOL_TEXT;-1006999;Diameter Symbol Text
OdBm::BuiltInParameter::TAG_TAG;-1007000;Label
OdBm::BuiltInParameter::TAG_SAMPLE_TEXT;-1007001;Sample Text
OdBm::BuiltInParameter::TAG_ORIENTATION_PARAM;-1007003;Orientation
OdBm::BuiltInParameter::ROOM_TAG_ORIENTATION_PARAM;-1007004;Orientation
OdBm::BuiltInParameter::TAG_NO_BREAK_PARAM_STRINGS;-1007005;Wrap between parameters only
OdBm::BuiltInParameter::TAG_LEADER_TYPE;-1007006;Leader Type
OdBm::BuiltInParameter::TAG_ANGLE_PARAM;-1007007;Angle
OdBm::BuiltInParameter::MULTI_REFERENCE_ANNOTATION_REFERENCE_CATEGORY;-1007050;Reference Category
OdBm::BuiltInParameter::MULTI_REFERENCE_ANNOTATION_TAG_TYPE;-1007051;Tag Family
OdBm::BuiltInParameter::MULTI_REFERENCE_ANNOTATION_GROUP_TAG_HEADS;-1007052;Group Matching Tag Heads
OdBm::BuiltInParameter::MULTI_REFERENCE_ANNOTATION_DIMENSION_STYLE;-1007053;Dimension Style
OdBm::BuiltInParameter::MULTI_REFERENCE_ANNOTATION_SHOW_DIMENSION_TEXT;-1007054;Show Dimension Text
OdBm::BuiltInParameter::LEVEL_HEAD_TAG;-1007100;Symbol
OdBm::BuiltInParameter::LEVEL_NAME;-1007101;Level
OdBm::BuiltInParameter::LEVEL_ELEV;-1007102;Elevation
OdBm::BuiltInParameter::LEVEL_RELATIVE_BASE_TYPE;-1007109;Elevation Base
OdBm::BuiltInParameter::LEVEL_UP_TO_LEVEL;-1007110;Story Above
OdBm::BuiltInParameter::LEVEL_IS_BUILDING_STORY;-1007111;Building Story
OdBm::BuiltInParameter::LEVEL_IS_STRUCTURAL;-1007112;Structural
OdBm::BuiltInParameter::STAIRS_BASE_LEVEL_PARAM;-1007200;Base Level
OdBm::BuiltInParameter::STAIRS_TOP_LEVEL_PARAM;-1007201;Top Level
OdBm::BuiltInParameter::STAIRS_ATTR_MAX_RISER_HEIGHT;-1007202;Maximum Riser Height
OdBm::BuiltInParameter::STAIRS_ATTR_MINIMUM_TREAD_DEPTH;-1007203;Minimum Tread Depth
OdBm::BuiltInParameter::STAIRS_ATTR_TREAD_WIDTH;-1007204;Width
OdBm::BuiltInParameter::STAIRS_DESIRED_NUM_RISERS;-1007205;Desired Number of Risers
OdBm::BuiltInParameter::STAIRS_ACTUAL_RISER_HEIGHT;-1007206;Actual Riser Height
OdBm::BuiltInParameter::STAIRS_ATTR_RISERS_PRESENT;-1007208;Risers Present
OdBm::BuiltInParameter::STAIRS_ATTR_STRINGER_HEIGHT;-1007209;Stringer Height
OdBm::BuiltInParameter::STAIRS_ATTR_STRINGER_THICKNESS;-1007210;Stringer Thickness
OdBm::BuiltInParameter::STAIRS_ATTR_TREAD_THICKNESS;-1007211;Tread Thickness
OdBm::BuiltInParameter::STAIRS_ATTR_RISER_ANGLE;-1007212;Riser Angle
OdBm::BuiltInParameter::STAIRS_BASE_OFFSET;-1007218;Base Offset
OdBm::BuiltInParameter::STAIRS_TOP_OFFSET;-1007219;Top Offset
OdBm::BuiltInParameter::STAIRS_STRINGERS_PRESENT;-1007234;Stringer Position
OdBm::BuiltInParameter::STAIRS_MULTISTORY_TOP_LEVEL_PARAM;-1007235;Multistory Top Level
OdBm::BuiltInParameter::STAIRS_ATTR_SIDE_STRINGER_TYPE_PARAM;-1007236;Type of Side Stringers
OdBm::BuiltInParameter::STAIRS_ATTR_STRINGER_CARRIAGE;-1007237;Stringer Carriage Height
OdBm::BuiltInParameter::STAIRS_ATTR_STRINGER_OFFSET;-1007238;Open Stringer Offset
OdBm::BuiltInParameter::STAIRS_ATTR_STRINGER_MATERIAL;-1007239;Stringer Material
OdBm::BuiltInParameter::STAIRS_ATTR_TREAD_FRONT_PROFILE;-1007240;Nosing Profile
OdBm::BuiltInParameter::STAIRS_ATTR_NOSING_LENGTH;-1007241;Nosing Length
OdBm::BuiltInParameter::STAIRS_ATTR_TREAD_MATERIAL;-1007242;Tread Material
OdBm::BuiltInParameter::STAIRS_ATTR_RISER_TYPE;-1007243;Riser Type
OdBm::BuiltInParameter::STAIRS_ATTR_RISER_MATERIAL;-1007244;Riser Material
OdBm::BuiltInParameter::STAIRS_ATTR_BREAK_SYM_IN_CUTLINE;-1007245;Break Symbol in Plan
OdBm::BuiltInParameter::STAIRS_ACTUAL_NUM_RISERS;-1007246;Actual Number of Risers
OdBm::BuiltInParameter::STAIRS_ATTR_STAIR_CALCULATOR;-1007247;Calculation Rules
OdBm::BuiltInParameter::STAIRS_ATTR_RISER_MULT;-1007248;Riser Multiplier
OdBm::BuiltInParameter::STAIRS_ATTR_TREAD_MULT;-1007249;Tread Multiplier
OdBm::BuiltInParameter::STAIRS_ACTUAL_TREAD_DEPTH;-1007250;Actual Tread Depth
OdBm::BuiltInParameter::STAIRS_ATTR_EQ_RESULT;-1007251;Calculation Rules
OdBm::BuiltInParameter::STAIRS_ATTR_CALC_MIN;-1007252;Calculation Rules
OdBm::BuiltInParameter::STAIRS_ATTR_CALC_MAX;-1007253;Calculation Rules
OdBm::BuiltInParameter::STAIRS_ATTR_CALC_ENABLED;-1007254;Calculation Rules
OdBm::BuiltInParameter::STAIRS_ATTR_MONOLITHIC_STAIRS;-1007255;Monolithic Stairs
OdBm::BuiltInParameter::STAIRS_ATTR_STAIRS_BOTTOM;-1007256;Underside of Winder
OdBm::BuiltInParameter::STAIRS_ATTR_FIRST_RISER;-1007257;Begin with Riser
OdBm::BuiltInParameter::STAIRS_ATTR_LAST_RISER;-1007258;End with Riser
OdBm::BuiltInParameter::STAIRS_ATTR_STAIRS_CUT_OFFSET;-1007259;Extend Below Base
OdBm::BuiltInParameter::STAIRS_ATTR_NUM_MID_STRINGERS;-1007260;Middle Stringers
OdBm::BuiltInParameter::STAIRS_ATTR_RISER_THICKNESS;-1007261;Riser Thickness
OdBm::BuiltInParameter::STAIRS_ATTR_RISER_TREAD_CONNECT;-1007262;Riser to Tread Connection
OdBm::BuiltInParameter::STAIRS_ATTR_NOSING_PLACEMENT;-1007263;Apply Nosing Profile
OdBm::BuiltInParameter::STAIRS_ATTR_LEFT_SIDE_STRINGER;-1007264;Left Stringer
OdBm::BuiltInParameter::STAIRS_ATTR_RIGHT_SIDE_STRINGER;-1007265;Right Stringer
OdBm::BuiltInParameter::STAIRS_ATTR_LANDINGS_OVERLAPPING;-1007266;Landing Overlap
OdBm::BuiltInParameter::STAIRS_ATTR_LANDING_CARRIAGE;-1007267;Landing Carriage Height
OdBm::BuiltInParameter::STAIRS_ATTR_BODY_MATERIAL;-1007268;Monolithic Material
OdBm::BuiltInParameter::STAIRS_ATTR_TEXT_FONT;-1007269;Text Font
OdBm::BuiltInParameter::STAIRS_ATTR_TEXT_SIZE;-1007270;Text Size
OdBm::BuiltInParameter::STAIRS_INST_UP_LABEL_ON;-1007271;Up label
OdBm::BuiltInParameter::STAIRS_INST_UP_LABEL_TEXT;-1007272;Up text
OdBm::BuiltInParameter::STAIRS_INST_UP_ARROW_ON;-1007273;Up arrow
OdBm::BuiltInParameter::STAIRS_INST_DOWN_LABEL_ON;-1007274;Down label
OdBm::BuiltInParameter::STAIRS_INST_DOWN_LABEL_TEXT;-1007275;Down text
OdBm::BuiltInParameter::STAIRS_INST_DOWN_ARROW_ON;-1007276;Down arrow
OdBm::BuiltInParameter::STAIRS_ATTR_TRIM_TOP;-1007277;Trim Stringers at Top
OdBm::BuiltInParameter::STAIRS_INST_ALWAYS_UP;-1007278;Show Up arrow in all views
OdBm::BuiltInParameter::RECT_MULLION_WIDTH1;-1007300;Width on side 1
OdBm::BuiltInParameter::RECT_MULLION_WIDTH2;-1007301;Width on side 2
OdBm::BuiltInParameter::RECT_MULLION_THICK;-1007304;Thickness
OdBm::BuiltInParameter::CUST_MULLION_WIDTH1;-1007320;Width on side 1
OdBm::BuiltInParameter::CUST_MULLION_WIDTH2;-1007321;Width on side 2
OdBm::BuiltInParameter::CUST_MULLION_THICK;-1007322;Thickness
OdBm::BuiltInParameter::CIRC_MULLION_RADIUS;-1007350;Radius
OdBm::BuiltInParameter::MULLION_OFFSET;-1007351;Offset
OdBm::BuiltInParameter::MULLION_FAM_TYPE;-1007352;Mullion Family General Shape
OdBm::BuiltInParameter::MULLION_CORNER_TYPE;-1007353;Corner Mullion
OdBm::BuiltInParameter::LV_MULLION_LEG1;-1007354;Leg 1
OdBm::BuiltInParameter::LV_MULLION_LEG2;-1007355;Leg 2
OdBm::BuiltInParameter::MULLION_DEPTH;-1007356;Depth
OdBm::BuiltInParameter::MULLION_DEPTH1;-1007357;Depth 1
OdBm::BuiltInParameter::MULLION_DEPTH2;-1007358;Depth 2
OdBm::BuiltInParameter::TRAP_MULL_WIDTH;-1007359;Center Width
OdBm::BuiltInParameter::MULLION_PROFILE;-1007361;Profile
OdBm::BuiltInParameter::MULLION_POSITION;-1007362;Position
OdBm::BuiltInParameter::MULLION_ANGLE;-1007363;Angle
OdBm::BuiltInParameter::CURTAIN_GRID_BASE_ORIENTATION;-1007364;Grid Base Orientation
OdBm::BuiltInParameter::AUTO_MULLION_INTERIOR_GRID1;-1007380;Interior Type
OdBm::BuiltInParameter::AUTO_MULLION_INTERIOR_GRID2;-1007381;Interior Type
OdBm::BuiltInParameter::AUTO_MULLION_BORDER1_GRID1;-1007382;Border 1 Type
OdBm::BuiltInParameter::AUTO_MULLION_BORDER2_GRID1;-1007383;Border 2 Type
OdBm::BuiltInParameter::AUTO_MULLION_BORDER1_GRID2;-1007384;Border 1 Type
OdBm::BuiltInParameter::AUTO_MULLION_BORDER2_GRID2;-1007385;Border 2 Type
OdBm::BuiltInParameter::AUTO_PANEL;-1007386;Curtain Panel
OdBm::BuiltInParameter::AUTO_JOIN_CONDITION;-1007387;Join Condition
OdBm::BuiltInParameter::AUTO_PANEL_WALL;-1007388;Curtain Panel
OdBm::BuiltInParameter::AUTO_MULLION_INTERIOR_VERT;-1007389;Interior Type
OdBm::BuiltInParameter::AUTO_MULLION_INTERIOR_HORIZ;-1007390;Interior Type
OdBm::BuiltInParameter::AUTO_MULLION_BORDER1_VERT;-1007391;Border 1 Type
OdBm::BuiltInParameter::AUTO_MULLION_BORDER2_VERT;-1007392;Border 2 Type
OdBm::BuiltInParameter::AUTO_MULLION_BORDER1_HORIZ;-1007393;Border 1 Type
OdBm::BuiltInParameter::AUTO_MULLION_BORDER2_HORIZ;-1007394;Border 2 Type
OdBm::BuiltInParameter::AUTO_JOIN_CONDITION_WALL;-1007395;Join Condition
OdBm::BuiltInParameter::SHEET_NAME;-1007400;Sheet Name
OdBm::BuiltInParameter::SHEET_NUMBER;-1007401;Sheet Number
OdBm::BuiltInParameter::SHEET_SCALE;-1007402;Scale
OdBm::BuiltInParameter::SHEET_DATE;-1007403;Date/Time Stamp
OdBm::BuiltInParameter::SHEET_DRAWN_BY;-1007404;Drawn By
OdBm::BuiltInParameter::SHEET_CHECKED_BY;-1007405;Checked By
OdBm::BuiltInParameter::SHEET_SCHEDULED;-1007406;Appears In Sheet List
OdBm::BuiltInParameter::SHEET_DESIGNED_BY;-1007407;Designed By
OdBm::BuiltInParameter::SHEET_APPROVED_BY;-1007408;Approved By
OdBm::BuiltInParameter::SHEET_FILE_PATH;-1007409;File Path
OdBm::BuiltInParameter::SHEET_WIDTH;-1007410;Sheet Width
OdBm::BuiltInParameter::SHEET_HEIGHT;-1007411;Sheet Height
OdBm::BuiltInParameter::SHEET_CURRENT_REVISION;-1007412;Current Revision
OdBm::BuiltInParameter::SHEET_REVISIONS_ON_SHEET;-1007413;Revisions on Sheet
OdBm::BuiltInParameter::SHEET_CURRENT_REVISION_DESCRIPTION;-1007414;Current Revision Description
OdBm::BuiltInParameter::SHEET_CURRENT_REVISION_DATE;-1007415;Current Revision Date
OdBm::BuiltInParameter::SHEET_CURRENT_REVISION_ISSUED_TO;-1007416;Current Revision Issued To
OdBm::BuiltInParameter::SHEET_CURRENT_REVISION_ISSUED_BY;-1007417;Current Revision Issued By
OdBm::BuiltInParameter::SHEET_CURRENT_REVISION_ISSUED;-1007418;Current Revision Issued
OdBm::BuiltInParameter::SHEET_GUIDE_GRID;-1007419;Guide Grid
OdBm::BuiltInParameter::COLOR_FILL_FILTERED_PARAM;-1007502;Values Displayed
OdBm::BuiltInParameter::COLOR_FILL_SWATCH_WIDTH_PARAM;-1007503;Swatch Width
OdBm::BuiltInParameter::COLOR_FILL_SWATCH_HEIGHT_PARAM;-1007504;Swatch Height
OdBm::BuiltInParameter::ELEV_WIDTH;-1007600;Width
OdBm::BuiltInParameter::ELEV_SHAPE;-1007601;Shape
OdBm::BuiltInParameter::ELEV_ARROW_ANGLE;-1007602;Arrow Angle
OdBm::BuiltInParameter::ELEV_ARROW_FILLED;-1007603;Filled
OdBm::BuiltInParameter::ELEV_TEXT_POS;-1007604;Text Position
OdBm::BuiltInParameter::ELEV_SHOW_VIEW_NAME;-1007605;Show View Name
OdBm::BuiltInParameter::ELEV_VIEW_NAME_POS;-1007607;View Name Position
OdBm::BuiltInParameter::ELEV_ASSOC_DATUM;-1007608;Associated Datum
OdBm::BuiltInParameter::ELEV_REFERENCE_LABEL_POS;-1007609;Reference Label Position
OdBm::BuiltInParameter::ELEV_SYMBOL_ID;-1007610;Elevation Mark
OdBm::BuiltInParameter::IMPORT_SYMBOL_NAME;-1007700;Name
OdBm::BuiltInParameter::IMPORT_SCALE;-1007701;Scale Factor
OdBm::BuiltInParameter::IMPORT_BASE_LEVEL;-1007702;Base Level
OdBm::BuiltInParameter::IMPORT_BASE_LEVEL_OFFSET;-1007703;Base Offset
OdBm::BuiltInParameter::IMPORT_DISPLAY_UNITS;-1007704;Import Units
OdBm::BuiltInParameter::IMPORT_BACKGROUND;-1007705;Draw Layer
OdBm::BuiltInParameter::IMPORT_INSTANCE_SCALE;-1007706;Instance Scale
OdBm::BuiltInParameter::GEO_LOCATION;-1007720;Shared Site
OdBm::BuiltInParameter::RVT_LINK_INSTANCE_NAME;-1007721;Name
OdBm::BuiltInParameter::RVT_SOURCE_LEVEL;-1007723;Map Levels...
OdBm::BuiltInParameter::RVT_HOST_LEVEL;-1007724;Map Levels...
OdBm::BuiltInParameter::RVT_LEVEL_OFFSET;-1007725;Map Levels...
OdBm::BuiltInParameter::RVT_LINK_FILE_NAME_WITHOUT_EXT;-1007726;File Name
OdBm::BuiltInParameter::RVT_LINK_REFERENCE_TYPE;-1007727;Reference Type
OdBm::BuiltInParameter::RVT_LINK_PHASE_MAP;-1007728;Phase Mapping
OdBm::BuiltInParameter::IMPORT_ADT_ENTITY_TYPE;-1007730;Type Name
OdBm::BuiltInParameter::IMPORT_ADT_ENTITY_STRUCT_TYPE;-1007731;Structural Type Name
OdBm::BuiltInParameter::IMPORT_ADT_ENTITY_STYLE;-1007732;Style Name
OdBm::BuiltInParameter::IMPORT_ADT_COMPONENTS_DESC;-1007733;Component Description
OdBm::BuiltInParameter::IMPORT_ADT_ENTITY_HEIGHT;-1007734;Height
OdBm::BuiltInParameter::IMPORT_ADT_ENTITY_WIDTH;-1007735;Width
OdBm::BuiltInParameter::IMPORT_ADT_ENTITY_LENGTH;-1007736;Length
OdBm::BuiltInParameter::IMPORT_ADT_ENTITY_THICKNESS;-1007737;Thickness
OdBm::BuiltInParameter::IMPORT_ADT_ENTITY_ROLL;-1007738;Roll
OdBm::BuiltInParameter::RASTER_SHEETWIDTH;-1007750;Width
OdBm::BuiltInParameter::RASTER_SHEETHEIGHT;-1007751;Height
OdBm::BuiltInParameter::RASTER_LOCK_PROPORTIONS;-1007752;Lock Proportions
OdBm::BuiltInParameter::RASTER_SYMBOL_PIXELWIDTH;-1007760;Width (pixels)
OdBm::BuiltInParameter::RASTER_SYMBOL_PIXELHEIGHT;-1007761;Height (pixels)
OdBm::BuiltInParameter::RASTER_SYMBOL_VIEWNAME;-1007762;View Name
OdBm::BuiltInParameter::RASTER_SYMBOL_FILENAME;-1007763;Loaded from file
OdBm::BuiltInParameter::RASTER_SYMBOL_RESOLUTION;-1007764;Resolution (dpi)
OdBm::BuiltInParameter::RASTER_SYMBOL_WIDTH;-1007765;Width
OdBm::BuiltInParameter::RASTER_SYMBOL_HEIGHT;-1007766;Height
OdBm::BuiltInParameter::RASTER_VERTICAL_SCALE;-1007767;Vertical Scale
OdBm::BuiltInParameter::RASTER_HORIZONTAL_SCALE;-1007768;Horizontal Scale
OdBm::BuiltInParameter::RASTER_SYMBOL_PAGENUMBER;-1007769;Page Number
OdBm::BuiltInParameter::SCHEDULE_FIELDS_PARAM;-1007800;Fields
OdBm::BuiltInParameter::SCHEDULE_FILTER_PARAM;-1007801;Filter
OdBm::BuiltInParameter::SCHEDULE_GROUP_PARAM;-1007803;Sorting/Grouping
OdBm::BuiltInParameter::SCHEDULE_FORMAT_PARAM;-1007804;Formatting
OdBm::BuiltInParameter::SCHEDULE_SHEET_APPEARANCE_PARAM;-1007805;Appearance
OdBm::BuiltInParameter::SCHEDULE_EMBEDDED_PARAM;-1007806;Embedded Schedule
OdBm::BuiltInParameter::RBS_PANEL_SCHEDULE_SHEET_APPEARANCE_PARAM;-1007807;Appearance On Sheet
OdBm::BuiltInParameter::RBS_PANEL_SCHEDULE_SHEET_APPEARANCE_INST_PARAM;-1007808;Appearance
OdBm::BuiltInParameter::REF_TABLE_ELEM_NAME;-1007850;Key Name
OdBm::BuiltInParameter::REF_TABLE_PARAM_NAME;-1007851;Parameter Name
OdBm::BuiltInParameter::ARC_CURVE_CNTR_MRK_VISIBLE;-1007900;Center Mark Visible
OdBm::BuiltInParameter::ELLIPSE_FOCUS_MRK_VISIBLE;-1007905;Focus Marks Visible
OdBm::BuiltInParameter::DATUM_TEXT;-1008000;Name
OdBm::BuiltInParameter::DATUM_BUBBLE_END_2;-1008001;Symbol at End 2 Default
OdBm::BuiltInParameter::DATUM_BUBBLE_END_1;-1008002;Symbol at End 1 Default
OdBm::BuiltInParameter::DATUM_BUBBLE_LOCATION_IN_ELEV;-1008003;Non-Plan View Symbols (Default)
OdBm::BuiltInParameter::GRID_BUBBLE_END_1;-1008004;Plan View Symbols End 1 (Default)
OdBm::BuiltInParameter::GRID_BUBBLE_END_2;-1008005;Plan View Symbols End 2 (Default)
OdBm::BuiltInParameter::CALLOUT_ATTR_HEAD_TAG;-1008200;Callout Head
OdBm::BuiltInParameter::CALLOUT_CORNER_SHEET_RADIUS;-1008201;Corner Radius
OdBm::BuiltInParameter::CALLOUT_SYNCRONIZE_BOUND_OFFSET_FAR;-1008203;Far Clip Settings
OdBm::BuiltInParameter::SECTION_TAG;-1008205;Section Tag
OdBm::BuiltInParameter::CALLOUT_TAG;-1008206;Callout Tag
OdBm::BuiltInParameter::ELEVATN_TAG;-1008207;Elevation Tag
OdBm::BuiltInParameter::POCHE_MAT_ID;-1008208;Coarse Poche Material
OdBm::BuiltInParameter::PLAN_VIEW_VIEW_DIR;-1008209;View Direction
OdBm::BuiltInParameter::DEFAULT_VIEW_TEMPLATE;-1008210;View Template applied to new views
OdBm::BuiltInParameter::ASSIGN_TEMPLATE_ON_VIEW_CREATION;-1008211;New views are dependent on template
OdBm::BuiltInParameter::RAMP_ATTR_MIN_INV_SLOPE;-1008301;Ramp Max Slope (1/x)
OdBm::BuiltInParameter::RAMP_MAX_RUN_LENGTH;-1008303;Maximum Incline Length
OdBm::BuiltInParameter::RAMP_ATTR_THICKNESS;-1008304;Thickness
OdBm::BuiltInParameter::RAMP_ATTR_SHAPE;-1008305;Shape
