NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInParameter::RBS_ELEC_APPARENT_CURRENT_PHASEC_PARAM;-1140042;Apparent Current Phase C
OdBm::BuiltInParameter::RBS_ELEC_APPARENT_CURRENT_PHASEB_PARAM;-1140043;Apparent Current Phase B
OdBm::BuiltInParameter::RBS_ELEC_APPARENT_CURRENT_PHASEA_PARAM;-1140044;Apparent Current Phase A
OdBm::BuiltInParameter::RBS_ELEC_APPARENT_CURRENT_PARAM;-1140045;Apparent Current
OdBm::BuiltInParameter::RBS_ELEC_TRUE_CURRENT_PHASEC_PARAM;-1140046;True Current Phase C
OdBm::BuiltInParameter::RBS_ELEC_TRUE_CURRENT_PHASEB_PARAM;-1140047;True Current Phase B
OdBm::BuiltInParameter::RBS_ELEC_TRUE_CURRENT_PHASEA_PARAM;-1140048;True Current Phase A
OdBm::BuiltInParameter::RBS_ELEC_TRUE_CURRENT_PARAM;-1140049;True Current
OdBm::BuiltInParameter::RBS_ELEC_TRUE_LOAD_PHASEA;-1140050;True Load Phase A
OdBm::BuiltInParameter::RBS_ELEC_TRUE_LOAD_PHASEB;-1140051;True Load Phase B
OdBm::BuiltInParameter::RBS_ELEC_TRUE_LOAD_PHASEC;-1140052;True Load Phase C
OdBm::BuiltInParameter::RBS_ELEC_APPARENT_LOAD_PHASEA;-1140053;Apparent Load Phase A
OdBm::BuiltInParameter::RBS_ELEC_APPARENT_LOAD_PHASEB;-1140054;Apparent Load Phase B
OdBm::BuiltInParameter::RBS_ELEC_APPARENT_LOAD_PHASEC;-1140055;Apparent Load Phase C
OdBm::BuiltInParameter::RBS_VOLTAGETYPE_MAXVOLTAGE_PARAM;-1140056;Maximum Voltage
OdBm::BuiltInParameter::RBS_VOLTAGETYPE_MINVOLTAGE_PARAM;-1140057;Minimum Voltage
OdBm::BuiltInParameter::RBS_VOLTAGETYPE_VOLTAGE_PARAM;-1140058;Actual Voltage
OdBm::BuiltInParameter::RBS_DISTRIBUTIONSYS_NUMWIRES_PARAM;-1140059;Wires
OdBm::BuiltInParameter::RBS_DISTRIBUTIONSYS_CONFIG_PARAM;-1140060;Configuration
OdBm::BuiltInParameter::RBS_DISTRIBUTIONSYS_PHASE_PARAM;-1140061;Phase
OdBm::BuiltInParameter::RBS_DISTRIBUTIONSYS_VLG_PARAM;-1140062;Line to Ground Voltage
OdBm::BuiltInParameter::RBS_DISTRIBUTIONSYS_VLL_PARAM;-1140063;Line to Line Voltage
OdBm::BuiltInParameter::RBS_FAMILY_CONTENT_DISTRIBUTION_SYSTEM;-1140064;Distribution System
OdBm::BuiltInParameter::RBS_ELEC_DEMANDFACTOR_DEMANDLOAD_PARAM;-1140065;Estimated Demand Load
OdBm::BuiltInParameter::RBS_ELEC_DEMANDFACTOR_LOAD_PARAM;-1140066;Connected Load
OdBm::BuiltInParameter::RBS_ELEC_DEMANDFACTOR_LOADCLASSIFICATION_PARAM;-1140067;Load Classification
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALLOAD_PARAM;-1140068;Total Connected
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALESTLOAD_PARAM;-1140069;Total Estimated Demand
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALLOAD_OTHER_PARAM;-1140070;Other Total Connected
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALESTLOAD_OTHER_PARAM;-1140071;Other Total Estimated Demand
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALLOAD_POWER_PARAM;-1140072;Power Total Connected
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALESTLOAD_POWER_PARAM;-1140073;Power Total Estimated Demand
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALLOAD_LIGHT_PARAM;-1140074;Lighting Total Connected
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALESTLOAD_LIGHT_PARAM;-1140075;Lighting Total Estimated Demand
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALLOAD_HVAC_PARAM;-1140076;HVAC Total Connected
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTALESTLOAD_HVAC_PARAM;-1140077;HVAC Total Estimated Demand
OdBm::BuiltInParameter::RBS_ELEC_PANEL_NAME;-1140078;Panel Name
OdBm::BuiltInParameter::RBS_ELEC_MAX_POLE_BREAKERS;-1140079;Max Number of Single Pole Breakers
OdBm::BuiltInParameter::RBS_ELEC_SHORT_CIRCUIT_RATING;-1140080;Short Circuit Rating
OdBm::BuiltInParameter::RBS_ELEC_MOUNTING;-1140081;Mounting
OdBm::BuiltInParameter::RBS_ELEC_MAINS;-1140082;Mains
OdBm::BuiltInParameter::RBS_ELEC_ENCLOSURE;-1140083;Enclosure
OdBm::BuiltInParameter::RBS_ELEC_MODIFICATIONS;-1140084;Modifications
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_PREFIX;-1140085;Circuit Prefix
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_PREFIX_SEPARATOR;-1140086;Circuit Prefix Separator
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_NAMING;-1140087;Circuit Naming
OdBm::BuiltInParameter::RBS_FAMILY_CONTENT_SECONDARY_DISTRIBSYS;-1140088;Secondary Distribution System
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_NAME;-1140089;Load Name
OdBm::BuiltInParameter::RBS_ELEC_WIRE_SHARE_GROUND;-1140090;Share Ground Conductor
OdBm::BuiltInParameter::RBS_ELEC_WIRE_SHARE_NEUTRAL;-1140091;Share Neutral Conductor
OdBm::BuiltInParameter::RBS_ELEC_WIRE_GROUND_ADJUSTMENT;-1140092;Ground Conductors
OdBm::BuiltInParameter::RBS_ELEC_WIRE_NEUTRAL_ADJUSTMENT;-1140093;Neutral Conductors
OdBm::BuiltInParameter::RBS_ELEC_WIRE_HOT_ADJUSTMENT;-1140094;Hot Conductors
OdBm::BuiltInParameter::RBS_ELEC_WIRE_ELEVATION;-1140096;Elevation
OdBm::BuiltInParameter::RBS_ELEC_WIRE_TYPE;-1140097;Type
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_WIRE_NUM_GROUNDS_PARAM;-1140098;# of Ground Conductors
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_WIRE_NUM_NEUTRALS_PARAM;-1140099;# of Neutral Conductors
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_WIRE_NUM_HOTS_PARAM;-1140100;# of Hot Conductors
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_WIRE_NUM_RUNS_PARAM;-1140101;# of Runs
OdBm::BuiltInParameter::RBS_ELEC_WIRE_CIRCUITS;-1140102;Circuits
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_NUMBER;-1140103;Circuit Number
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_PANEL_PARAM;-1140104;Panel
OdBm::BuiltInParameter::RBS_ELEC_WIRE_TICKMARK_STATE;-1140106;Tick Marks
OdBm::BuiltInParameter::RBS_WIRE_NUM_CONDUCTORS_PARAM;-1140107;Number of Conductors
OdBm::BuiltInParameter::RBS_WIRE_CIRCUIT_LOAD_NAME;-1140108;Circuit Load Name
OdBm::BuiltInParameter::RBS_WIRE_CIRCUIT_DESCRIPTION;-1140109;Circuit Description
OdBm::BuiltInParameter::RBS_ELEC_SWITCH_ID_PARAM;-1140110;Switch ID
OdBm::BuiltInParameter::RBS_CABLETRAY_THICKNESS;-1140111;Thickness
OdBm::BuiltInParameter::RBS_CABLETRAY_RUNGSPACE;-1140112;Rung Space
OdBm::BuiltInParameter::RBS_CABLETRAY_RUNGWIDTH;-1140113;Rung Width
OdBm::BuiltInParameter::RBS_CABLETRAY_RUNGHEIGHT;-1140114;Rung Height
OdBm::BuiltInParameter::RBS_CABLETRAY_BENDRADIUS;-1140115;Bend Radius
OdBm::BuiltInParameter::RBS_CONDUIT_BENDRADIUS;-1140116;Bend Radius
OdBm::BuiltInParameter::RBS_CONDUIT_TRADESIZE;-1140117;Conduit Size Lookup
OdBm::BuiltInParameter::CONDUIT_STANDARD_TYPE_PARAM;-1140118;Standard
OdBm::BuiltInParameter::CABLETRAY_MINBENDMULTIPLIER_PARAM;-1140119;Bend Radius Multiplier
OdBm::BuiltInParameter::CIRCUIT_LOAD_CLASSIFICATION_PARAM;-1140120;Load Classification
OdBm::BuiltInParameter::RBS_CABLETRAY_HEIGHT_PARAM;-1140121;Height
OdBm::BuiltInParameter::RBS_CABLETRAY_WIDTH_PARAM;-1140122;Width
OdBm::BuiltInParameter::RBS_CONDUIT_DIAMETER_PARAM;-1140123;Diameter(Trade Size)
OdBm::BuiltInParameter::RBS_CTC_TOP_ELEVATION;-1140124;Top Elevation
OdBm::BuiltInParameter::RBS_CTC_BOTTOM_ELEVATION;-1140125;Bottom Elevation
OdBm::BuiltInParameter::RBS_CONDUIT_INNER_DIAM_PARAM;-1140126;Inside Diameter
OdBm::BuiltInParameter::RBS_CONDUIT_OUTER_DIAM_PARAM;-1140127;Outside Diameter
OdBm::BuiltInParameter::RBS_CTC_SERVICE_TYPE;-1140128;Service Type
OdBm::BuiltInParameter::RBS_CABLETRAYCONDUIT_BENDORFITTING;-1140129;Bend or Fitting
OdBm::BuiltInParameter::RBS_CABLETRAY_SHAPETYPE;-1140130;Shape
OdBm::BuiltInParameter::RBS_LOAD_SUB_CLASSIFICATION_MOTOR;-1140131;Load Sub-Classification Motor
OdBm::BuiltInParameter::RBS_CABLETRAYCONDUITRUN_LENGTH_PARAM;-1140132;Length
OdBm::BuiltInParameter::RBS_CABLETRAYRUN_HEIGHT_PARAM;-1140133;Height
OdBm::BuiltInParameter::RBS_CABLETRAYRUN_WIDTH_PARAM;-1140134;Width
OdBm::BuiltInParameter::RBS_CONDUITRUN_DIAMETER_PARAM;-1140135;Diameter(Trade Size)
OdBm::BuiltInParameter::RBS_CONDUITRUN_INNER_DIAM_PARAM;-1140136;Inside Diameter
OdBm::BuiltInParameter::RBS_CONDUITRUN_OUTER_DIAM_PARAM;-1140137;Outside Diameter
OdBm::BuiltInParameter::RBS_ELEC_PANEL_FEED_PARAM;-1140138;Feed
OdBm::BuiltInParameter::RBS_ELEC_PANEL_MAINSTYPE_PARAM;-1140139;Mains Type
OdBm::BuiltInParameter::RBS_ELEC_PANEL_MCB_RATING_PARAM;-1140140;MCB Rating
OdBm::BuiltInParameter::RBS_ELEC_PANEL_SUPPLY_FROM_PARAM;-1140141;Supply From
OdBm::BuiltInParameter::RBS_ELEC_PANEL_SUBFEED_LUGS_PARAM;-1140142;SubFeed Lugs
OdBm::BuiltInParameter::RBS_ELEC_PANEL_BUSSING_PARAM;-1140143;Bussing
OdBm::BuiltInParameter::RBS_ELEC_PANEL_GROUND_BUS_PARAM;-1140144;Ground Bus
OdBm::BuiltInParameter::RBS_ELEC_PANEL_NEUTRAL_BUS_PARAM;-1140145;Neutral Bus
OdBm::BuiltInParameter::RBS_ELEC_PANEL_NEUTRAL_RATING_PARAM;-1140146;Neutral Rating
OdBm::BuiltInParameter::RBS_ELEC_PANEL_NUMPHASES_PARAM;-1140147;Number of Phases
OdBm::BuiltInParameter::RBS_ELEC_PANEL_NUMWIRES_PARAM;-1140148;Number of Wires
OdBm::BuiltInParameter::RBS_ELEC_PANEL_SCHEDULE_HEADER_NOTES_PARAM;-1140149;Schedule Header Notes
OdBm::BuiltInParameter::RBS_ELEC_PANEL_SCHEDULE_FOOTER_NOTES_PARAM;-1140150;Schedule Footer Notes
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTAL_DEMAND_FACTOR_PARAM;-1140151;Total Demand Factor
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTAL_CONNECTED_CURRENT_PARAM;-1140152;Total Connected Current
OdBm::BuiltInParameter::RBS_ELEC_PANEL_TOTAL_DEMAND_CURRENT_PARAM;-1140153;Total Estimated Demand Current
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_FRAME_PARAM;-1140154;Frame
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_NUMBER_OF_ELEMENTS_PARAM;-1140155;Number of Elements
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_NOTES_PARAM;-1140156;Schedule Circuit Notes
OdBm::BuiltInParameter::RBS_ELEC_LOADSUMMARY_LOADCLASSIFICATION_PARAM;-1140157;Load Classification
OdBm::BuiltInParameter::RBS_ELEC_LOADSUMMARY_CONNECTED_LOAD_PARAM;-1140158;Connected Load (VA)
OdBm::BuiltInParameter::RBS_ELEC_LOADSUMMARY_DEMAND_FACTOR_PARAM;-1140159;Demand Factor
OdBm::BuiltInParameter::RBS_ELEC_LOADSUMMARY_DEMAND_LOAD_PARAM;-1140160;Estimated Demand (VA)
OdBm::BuiltInParameter::RBS_ELEC_LOADSUMMARY_CONNECTED_CURRENT_PARAM;-1140161;Connected Current
OdBm::BuiltInParameter::RBS_ELEC_LOADSUMMARY_DEMAND_CURRENT_PARAM;-1140162;Estimated Demand Current
OdBm::BuiltInParameter::RBS_ELEC_LOADSUMMARY_DEMAND_FACTOR_RULE_PARAM;-1140163;Description
OdBm::BuiltInParameter::RBS_ELEC_PANEL_CURRENT_PHASEA_PARAM;-1140164;Current Phase A
